;O2 concentration (micromol/L);
Distance (microm);Profile 1;Profile 2
1165;194,0692748;240,1306455
1164;199,4677531;237,4862635
1163;199,4212754;238,7319715
1162;196,2281975;244,5953406
1161;195,6828769;245,7552989
1160;197,907779;246,3216567
1159;199,8185231;244,3089231
1158;201,0130985;244,4567866
1157;203,9907164;243,0403648
1156;205,2199122;244,9551835
1155;200,6840247;251,0533667
1154;196,7826526;256,9275235
1153;192,3351517;259,1143039
1152;189,9694133;255,3740841
1151;188,1155574;255,2077465
1150;184,5186516;256,7331647
1149;181,9419406;254,893799
1148;181,401313;250,454578
1147;178,5985139;250,0631753
1146;178,7489449;252,2629333
1145;179,4901651;250,3267986
1144;181,8294725;247,2216247
1143;181,7105092;244,702508
1142;181,2737553;245,3982994
1141;187,1475522;243,3449162
1140;191,6611657;240,1821401
1139;193,634602;242,1836076
1138;196,5347312;242,1441852
1137;200,070396;245,7572056
1136;201,1011874;245,5173211
1135;199,2981991;241,5397834
1134;195,4133653;236,7782417
1133;195,3864103;236,3370085
1132;195,6374005;235,4619395
1131;186,836532;235,024992
1130;184,4128967;235,9388191
1129;184,602978;237,0410105
1128;180,8874931;238,5372808
1127;178,0773348;237,6238996
1126;175,157705;236,0206091
1125;172,4575099;236,243229
1124;169,1690807;237,5606493
1123;170,7214894;235,4040153
1122;172,0165908;232,6841189
1121;176,0444642;231,0307842
1120;174,3061028;228,7726388
1119;175,0710162;228,9152768
1118;177,9303735;228,1690065
1117;179,3677134;226,1610908
1116;183,4998507;223,7802224
1115;190,3267855;225,7383332
1114;198,508336;228,5232552
1113;197,4186015;229,2004863
1112;193,3246293;228,6872653
1111;195,4015276;230,0155198
1110;200,6025748;232,7289899
1109;198,7942087;231,8058978
1108;196,755519;232,2353344
1107;199,2073111;232,1917217
1106;197,8200092;232,7750238
1105;196,4758049;228,2897108
1104;193,0785751;223,3109961
1103;191,8371951;224,7495156
1102;191,7004196;228,9586051
1101;184,7066731;231,4804044
1100;177,350388;233,3284145
1099;184,4662164;235,6307397
1098;190,2657192;237,4624318
1097;184,6000968;239,9247406
1096;179,8455456;241,4855492
1095;180,4299934;247,3731105
1094;181,5316905;252,0120626
1093;184,3000194;250,8920696
1092;187,2083493;248,6703485
1091;192,207573;248,168969
1090;195,8778418;246,0243781
1089;189,7320032;244,0348834
1088;185,4366855;242,5061825
1087;185,4244638;243,0997258
1086;185,6112118;245,1535898
1085;181,6589806;243,7925788
1084;180,0493842;241,9230192
1083;181,6399104;241,969751
1082;183,1046747;242,7797979
1081;180,5361789;246,7906591
1080;178,7859247;251,1431375
1079;182,1409977;250,4209944
1078;186,2805083;249,4707055
1077;191,8592196;247,7379252
1076;196,7933148;245,9598356
1075;196,4968199;244,5254279
1074;195,0604644;245,9688088
1073;192,0462666;249,1180256
1072;191,7106841;250,9075014
1071;197,1517787;245,9074579
1070;201,9819816;239,7420377
1069;200,8350276;243,0572995
1068;196,7726338;246,9882296
1067;194,2541456;246,6400999
1066;193,5104256;246,4917926
1065;195,0307876;245,9946971
1064;196,6150604;245,617794
1063;196,2355226;242,600363
1062;194,3526419;240,8309499
1061;191,2856608;240,3946629
1060;190,5965494;241,5549077
1059;189,7673843;239,0675837
1058;188,9529183;235,4903073
1057;192,195777;231,9479343
1056;195,1839869;226,2184589
1055;190,1771935;223,6962634
1054;186,1845521;221,8116448
1053;191,3919104;219,748684
1052;194,2454664;216,8489102
1051;192,6851438;219,6620642
1050;188,4498848;220,0060526
1049;188,565963;219,4829
1048;189,7967986;220,9585711
1047;186,8882092;223,5113859
1046;182,2462856;229,8557674
1045;183,3554554;229,5127105
1044;187,6036712;228,4602943
1043;187,1202923;234,3396041
1042;189,7528006;240,0142685
1041;195,9873583;237,9278768
1040;200,6473015;235,2947089
1039;198,639926;237,8986013
1038;199,4943969;237,4638629
1037;203,0993512;238,3582447
1036;207,3031944;236,7076576
1035;208,9806887;240,7492977
1034;208,4798234;243,5999748
1033;205,7231006;240,9074187
1032;203,6675956;243,4952477
1031;199,9723495;243,7864689
1030;199,0177791;245,3950798
1029;205,7758066;243,2086275
1028;210,4183633;242,2948664
1027;206,1350715;240,6732284
1026;204,4465755;241,1912762
1025;208,85853;236,0785222
1024;211,7082369;233,0620274
1023;213,8168133;231,4827296
1022;214,7726494;225,1098481
1021;216,9167042;223,0235393
1020;217,1732148;218,610004
1019;211,3535034;217,0837695
1018;207,1962941;216,6532941
1017;208,9803265;215,7384581
1016;210,8482288;214,270178
1015;206,9087277;212,3717838
1014;204,2150623;212,0084563
1013;200,914709;211,9023787
1012;197,8036849;212,0608439
1011;193,2505866;212,228832
1010;191,6375297;216,1651741
1009;194,4941803;215,3241983
1008;195,3680953;215,2997267
1007;191,2671235;218,0536428
1006;187,5874312;219,1895622
1005;185,4090508;226,5322935
1004;183,3400133;228,4357207
1003;187,6029346;226,4151073
1002;190,7458653;223,1897491
1001;193,6130752;226,2468333
1000;193,1489308;228,9866674
999;188,1279935;227,4703215
998;182,70454;225,4266955
997;186,8390971;224,7006767
996;190,4223596;224,3107234
995;190,6816544;224,2830776
994;190,6855483;226,9961201
993;188,5930238;229,1719089
992;184,2418817;231,6392369
991;184,2293073;226,3906783
990;186,3802371;220,6224752
989;191,1671381;227,7342405
988;196,4444169;233,5261174
987;195,5675779;234,8102809
986;194,6177169;236,2810064
985;199,2069957;234,3887511
984;203,0810319;229,3100885
983;203,1277891;229,9540415
982;206,5750928;231,8725906
981;201,1697219;234,1082249
980;193,2455638;235,9533605
979;193,5021246;229,7570287
978;195,8930416;224,8515013
977;196,9979611;221,7018444
976;195,3559838;220,9452559
975;196,8749092;221,8382476
974;198,6247513;224,6360231
973;199,6926012;222,0695563
972;198,6481658;221,4973698
971;203,2577708;222,146741
970;210,3291739;222,8688791
969;211,387674;224,5056204
968;211,2837693;226,5579533
967;209,2460981;225,418009
966;210,2191899;222,6595564
965;207,9185912;225,9739081
964;204,0893934;229,478451
963;200,7553576;229,9537738
962;200,777269;228,0192855
961;202,5455424;226,6390845
960;204,146493;226,5248254
959;201,1369105;227,2556461
958;200,0897746;227,1553978
957;201,3911729;227,8896292
956;201,1995064;229,9196964
955;198,9747873;227,8338792
954;199,4085977;225,212821
953;198,9620219;227,219145
952;199,0943914;227,4885839
951;195,5595098;223,9234623
950;192,2732053;221,5023931
949;194,5137956;221,2564598
948;193,2807356;222,0629866
947;191,0563444;223,4141992
946;190,8198064;226,679824
945;193,9942158;224,5115564
944;196,9371628;223,3720832
943;198,0208949;221,8651831
942;196,6772137;224,0391511
941;196,3333953;231,1484942
940;196,8805917;237,2455892
939;191,2334727;234,2959156
938;187,0059654;230,1094553
937;186,8163289;230,143701
936;185,9019553;225,4707466
935;183,4380613;224,73048
934;181,479778;223,0677963
933;181,2890031;223,9486788
932;180,5460279;226,2231326
931;186,57787;224,1150891
930;192,0016041;219,2042769
929;195,6543437;218,7116575
928;196,9934104;219,2794222
927;196,9316122;222,0827705
926;197,008062;224,9467142
925;200,5726197;222,6662584
924;203,1399482;221,3341904
923;207,4501406;219,7806862
922;214,026728;216,224427
921;210,0330701;217,267566
920;204,6280142;219,7370693
919;202,025634;219,6747919
918;202,9174377;219,2050393
917;204,2249588;216,6751467
916;203,199304;214,9974383
915;202,0209148;219,8148511
914;202,0092948;226,122171
913;198,6526556;228,3614006
912;193,9618241;230,3914452
911;194,5517715;230,7160355
910;197,6688325;231,974826
909;201,3254653;236,0395193
908;203,0680975;241,1019908
907;203,5437155;246,8429771
906;203,3746534;253,1116078
905;201,2168188;252,5959383
904;197,2048188;249,8879254
903;195,7971439;251,6487209
902;195,9291119;252,1323146
901;195,2487302;250,8265472
900;192,7028933;251,2609356
899;192,2286591;256,2465879
898;191,5232869;258,9153308
897;195,0536003;253,4630801
896;197,1451105;249,626719
895;202,8293867;252,8337591
894;209,6694347;255,1884343
893;211,1679845;258,5825624
892;211,8196916;261,1129818
891;216,5138052;263,3623151
890;221,6665001;264,8678509
889;221,5952417;261,9948157
888;220,4599294;259,2637551
887;222,2753548;263,2634581
886;225,5003765;264,2676223
885;219,5597989;261,7530339
884;213,0438584;262,4865758
883;212,9193306;256,4263926
882;210,2972792;249,0500152
881;204,4816941;249,138798
880;198,600919;247,0686906
879;197,9466623;244,4147028
878;197,0234903;241,9301763
877;191,5724886;236,9769779
876;189,2699846;233,2964794
875;194,7726665;233,2095236
874;198,3064803;232,3796086
873;200,4142563;231,0195985
872;202,5493995;230,250767
871;207,7133123;229,4239461
870;210,4695367;226,5424319
869;208,4995676;230,8712283
868;209,3312094;233,3905506
867;212,0506197;237,4598789
866;214,1529806;239,8177871
865;211,1567545;239,8326465
864;210,8153532;239,3235977
863;208,7479481;244,0914462
862;208,3414288;249,6115223
861;205,1705456;246,9095739
860;203,0432734;246,5590006
859;206,3381423;240,2645943
858;208,7787398;238,0739583
857;206,7588449;236,4404284
856;202,4717006;237,3480012
855;200,4959014;237,5336826
854;198,8151064;236,2262481
853;201,2310902;232,3638277
852;202,1775453;230,800486
851;200,2025537;230,1101359
850;199,8691179;231,4816578
849;200,3684627;231,0798998
848;200,1875711;227,2157196
847;200,1647724;225,3698921
846;200,1509447;222,3967817
845;200,7357824;222,750169
844;201,7604199;223,9554664
843;198,4195015;227,901543
842;195,6977023;228,8182105
841;201,624119;233,1633591
840;204,0445805;233,9976859
839;200,8161242;234,426287
838;198,8765133;237,6473702
837;202,2275917;239,2349389
836;206,0335284;242,1000215
835;206,7304391;242,4009009
834;202,8694435;243,6684907
833;202,0364873;241,1009097
832;200,8491883;241,7296424
831;194,1411591;244,1747138
830;192,6991066;250,1957234
829;195,0403721;252,9588261
828;196,6642429;253,4521798
827;193,4658483;250,576105
826;192,8681681;249,6651946
825;194,3372778;253,2098139
824;199,9451222;255,3157104
823;203,8746317;260,5184805
822;207,1018464;262,083888
821;214,1035938;261,9673387
820;216,3949875;261,4823081
819;217,6966596;262,209206
818;217,5261651;262,8455261
817;218,6243365;264,1864985
816;217,6844597;266,5178459
815;218,9158161;262,8289501
814;217,2664544;259,5757097
813;216,9638954;253,8070443
812;219,8242093;250,6526833
811;216,0094169;244,4006377
810;216,0057923;236,8873344
809;217,7388947;238,6386105
808;220,538478;240,3494833
807;217,4646609;241,4365932
806;213,2806531;238,058039
805;212,2822295;236,7972689
804;210,9626532;234,6381285
803;212,56983;234,2634144
802;212,4919548;236,4021092
801;211,2655255;240,5483722
800;209,3890733;244,2691564
799;210,7303177;243,8832381
798;212,4903287;245,1040662
797;215,944146;251,2375289
796;222,1534949;258,0217025
795;224,0609584;254,4347758
794;225,6825448;254,2766811
793;222,1562638;258,6808304
792;219,3735884;259,4611497
791;226,2527641;259,9425056
790;232,5767194;259,1515376
789;227,3270282;256,9789095
788;221,9467603;255,2009943
787;224,1069359;251,2086762
786;224,792413;247,3085943
785;228,1362941;250,1490357
784;228,2715891;252,8950979
783;232,1533812;253,4232463
782;235,131966;251,5946334
781;228,5575673;250,1881253
780;222,8938067;250,1196774
779;224,822888;252,6304273
778;226,870977;255,429731
777;222,2871407;256,3259879
776;218,6000876;258,0164915
775;209,9109445;261,662143
774;207,978821;263,8711501
773;204,1639313;259,9818337
772;201,0219963;257,5612546
771;206,0599906;259,0062424
770;210,3788097;260,9681391
769;210,4178736;259,7019442
768;209,3158952;258,9067095
767;212,1126355;263,1909421
766;215,2152812;265,2098287
765;223,0296365;262,7384408
764;227,3008095;260,7223045
763;230,8125415;266,7496326
762;232,5685928;273,7874509
761;227,8746218;273,7422565
760;224,0937146;275,1891832
759;217,8482687;274,1366002
758;213,1163279;271,4136902
757;210,1241267;268,251293
756;206,6164054;267,1718885
