;Location;;;;;;;;;;;;;;;;
0,001084484;20,90;-19,62839963;56,664571;10,83217403;167,0752005;190,97;93,40841826;47,19;49,71414168;99,90;137,4925466;108,8205687;6,204477403;;;;
0,001106174;52,55;-8,276715411;56,5852035;3,204482872;148,0143206;174,26;104,6842195;51,44;57,29196856;117,19;153,3722485;124,1879266;-4,815744053;;;;
0,001127863;89,06;8,956971225;58,86802298;8,961871639;120,1851353;153,72;102,9524262;60,05;64,93780694;133,49;163,2278508;138,5388055;-23,61057157;;;;
0,001149553;117,09;31,54083978;70,29751038;26,91861202;92,90996616;123,46;94,88767142;66,37;70,25612229;148,35;168,9684015;147,3332766;-53,09620224;;;;
0,001171243;139,54;51,57820323;74,47882737;48,72612985;66,19484961;91,65;79,85016087;71,59;74,82040713;160,26;173,804127;153,0155962;-83,21360063;;;;
0,001192932;148,05;57,90030552;70,07986867;66,08505689;42,32429096;58,01;64,50595223;75,70;79,48840947;171,68;177,4903112;152,4506089;-107,4629213;;;;
0,001214622;151,55;65,83956652;67,92253298;73,93533204;21,13204459;21,81;49,21018362;81,43;86,56811009;183,46;181,1287117;151,1150097;-115,4940366;;;;
0,001236312;150,49;74,75380514;70,43273678;74,04273214;3,271466338;-11,36;36,48734663;88,32;95,1436529;190,51;187,8134491;149,2263002;-108,7813244;;;;
0,001258001;156,13;84,60220903;82,57950482;69,58945052;-8,663360347;-39,22;19,91726213;98,04;104,9640446;195,66;200,6680888;146,7332056;-95,39485017;;;;
0,001279691;163,04;94,8507325;88,83001098;55,0650809;-18,75632379;-63,62;4,01444003;110,15;119,4001764;203,19;216,9674017;147,8948169;-83,27752656;;;;
0,001301381;171,54;105,4699778;90,07156516;40,06144671;-32,45854189;-85,59;-17,72387936;124,78;132,8242274;213,58;234,0417477;152,8437502;-77,60533088;;;;
0,00132307;176,68;114,9019287;76,22490353;24,52183759;-50,52021446;-98,94;-41,26363196;137,20;145,0520958;226,38;250,0297386;164,2443897;-77,71979258;;;;
0,00134476;180,56;122,1983301;59,95475648;6,472807956;-71,54727803;-107,53;-66,7867369;149,49;157,2175717;233,66;256,9225061;172,6952545;-85,53026354;;;;
0,00136645;183,05;126,0041963;41,79595074;-12,12949538;-83,80469174;-112,66;-85,27313048;161,89;170,6716156;239,63;257,5524946;174,3577654;-88,33018692;;;;
0,00138814;186,70;126,4262749;16,62413858;-27,78525112;-91,32007309;-110,82;-98,90101707;177,44;186,5788228;243,75;243,1875605;170,7801646;-83,40659683;;;;
0,001409829;190,96;126,669195;-5,653602335;-38,36272061;-92,74801414;-107,68;-100,7260203;192,50;198,6917594;244,65;223,147338;165,4128077;-73,40837588;;;;
0,001431519;194,89;129,1268858;-24,06908107;-46,27966676;-89,41035117;-108,90;-95,50523719;203,86;207,385364;244,76;197,7546923;159,3969191;-60,761293;;;;
0,001453209;194,22;134,3883088;-28,70022186;-49,93821904;-84,71487686;-113,99;-85,37194056;207,56;207,6946176;244,27;178,962563;156,0472153;-43,86943786;;;;
