;Depth Location;;;;;;;;;;;;
Distance on line [m];1,6;1,4;1,2;1;0,8;0,6;0,4;0,2;0;-0,2;-0,4;-0,6;-0,8
0,001292637;-69,73835188;-108,1119682;-108,1119682;-189,9177703;-120,8797479;30,43206648;-19,59813135;-221,7300466;-83,18921803;-83,56875172;-146,531424;-153,2636539;68,20733231
0,001314547;-78,77657345;-112,8444765;-112,8444765;-189,0966717;-125,930032;26,51835571;-45,42933955;-238,4359664;-85,07618047;-98,85533021;-164,2056845;-149,8269773;84,35282731
0,001336456;-91,66599431;-119,6240964;-119,6240964;-187,353451;-131,9132607;16,41944015;-75,97033269;-253,2001671;-92,99320797;-112,6419388;-181,1989902;-145,3848448;105,3989678
0,001358365;-106,1607498;-129,7225397;-129,7225397;-185,0804154;-136,3831162;-2,374326038;-113,8030876;-266,2834432;-106,7723392;-120,5330437;-191,855837;-140,9028808;134,2523832
0,001380274;-122,0773517;-140,6756709;-140,6756709;-181,4366303;-139,6494347;-21,96123978;-151,3974058;-281,468955;-124,4605439;-132,071176;-200,7159975;-140,6400387;156,5463712
0,001402183;-138,8030984;-151,7852231;-151,7852231;-177,4356497;-137,0346907;-39,49622216;-184,5333105;-299,0183662;-142,7437638;-143,0255352;-208,4491712;-143,0660848;168,4629739
0,001424092;-156,5079892;-157,3836381;-157,3836381;-171,6779327;-130,1191409;-52,87314779;-206,9819707;-316,9894777;-160,728228;-150,3847014;-216,5887545;-150,7116171;161,3661323
0,001446001;-175,1344586;-160,6167724;-160,6167724;-165,7362972;-118,3264525;-59,29894063;-220,7344663;-333,4281588;-177,5709325;-159,6029842;-226,335108;-159,8631715;149,8630927
0,00146791;-192,8029697;-159,8437478;-159,8437478;-156,0311907;-103,1012616;-63,98674825;-224,0355327;-342,8531095;-196,6976607;-170,648088;-237,6936492;-170,3194273;135,109922
0,001489819;-212,9230204;-156,6998845;-156,6998845;-144,0898251;-86,84073968;-66,73796111;-223,2218622;-347,5430245;-219,0367959;-187,6705391;-250,0883906;-185,5574256;133,1903181
0,001511729;-232,8449135;-154,738477;-154,738477;-124,5109784;-68,50905973;-74,99467021;-218,6516815;-348,3114757;-245,6637293;-204,7929409;-259,6771032;-205,3336707;143,6518912
0,001533638;-252,2331614;-155,8842469;-155,8842469;-105,5617217;-49,71315644;-85,34144307;-216,356283;-347,9504853;-265,3906785;-222,0334223;-264,325002;-233,5904557;172,8501662
0,001555547;-265,7235447;-158,9728902;-158,9728902;-85,83993019;-30,51801374;-98,11732006;-218,0766497;-347,6270444;-281,9843263;-241,9510314;-269,3369862;-260,70084;200,5542147
0,001577456;-279,2284184;-163,1243631;-163,1243631;-68,73180593;-8,842573317;-108,8071834;-221,6273594;-347,9284343;-295,1849861;-265,0787522;-274,8461446;-286,3538041;222,9456495
0,001599365;-291,5516589;-165,7428334;-165,7428334;-51,59557551;10,49160514;-117,2608581;-223,6302783;-348,4897668;-314,6876831;-291,4472618;-283,7087829;-308,9717851;223,496333
0,001621274;-303,8265743;-162,5810281;-162,5810281;-35,97293119;26,74209716;-109,436092;-225,4928658;-349,123266;-336,4188971;-316,1912113;-291,8944193;-329,1769278;213,1793095
0,001643183;-315,2102402;-153,2822753;-153,2822753;-17,32214751;44,55465339;-100,7445002;-228,7258204;-343,2372146;-359,6271788;-337,3356866;-299,1223983;-348,1924933;195,9235761
0,001665092;-323,1159806;-135,0217873;-135,0217873;4,204359063;62,29267589;-94,50711523;-234,2669906;-332,3832605;-370,9709952;-351,743497;-308,3638636;-359,3981928;173,6719587
0,001687001;-327,4444463;-114,3983581;-114,3983581;35,5997504;85,98639815;-96,76064069;-242,3184266;-316,7011182;-375,2204455;-367,5201754;-318,9502183;-369,1083656;149,3151088
0,001708911;-329,7706765;-92,81490926;-92,81490926;68,68082231;105,833966;-101,3154916;-246,0434991;-297,0976287;-368,752549;-382,5213957;-331,6192738;-380,5207146;122,828524
0,00173082;-330,7986858;-62,23106107;-62,23106107;102,7707855;121,1402594;-104,7949693;-246,1033482;-275,7072762;-350,0982704;-394,8403716;-345,3955984;-394,0624399;95,90134555
0,001752729;-327,9510908;-26,04946741;-26,04946741;136,4824314;127,0073673;-97,44860441;-235,0320155;-251,7105019;-326,82449;-403,4665933;-359,8761215;-409,4915324;70,97387189
0,001774638;-321,3457053;20,19564017;20,19564017;166,314067;132,9391402;-82,08830097;-217,2874183;-225,1149436;-304,4556729;-409,4947111;-374,6386722;-422,3962471;47,48672118
0,001796547;-307,7036716;65,25106467;65,25106467;190,4873837;138,8777104;-60,59258971;-195,1083543;-196,0781405;-289,7039128;-410,1073232;-385,9385774;-434,0530483;24,25750429
0,001818456;-290,8195675;108,9800348;108,9800348;209,4367988;145,4440838;-41,69877455;-166,8939352;-163,1748661;-277,2744663;-406,7615806;-394,5950273;-444,0463678;1,546042165
